financial_year,state_code,states,requirement_urea,availability_urea,sales_urea,requirement_dap,availability_dap,sales_dap,requirement_mop,availability_mop,sales_mop,requirement_npks,availability_npks,sales_npks
2015-16,12.0,Gujarat,20.5,21.31,21.04,5.0,5.28,5.12,1.8,1.19,1.17,5.2,6.26,5.98
2015-16,13.0,Harayana,18.6,21.7,21.13,6.0,6.8,6.64,0.45,0.5,0.4,0.65,0.28,0.25
2015-16,14.0,Himachal Pradesh,0.71,0.73,0.73,0.0,0.0,0.0,0.09,0.08,0.08,0.3,0.36,0.36
2015-16,15.0,J&K,1.32,1.59,1.55,0.78,0.61,0.59,0.26,0.11,0.11,0.0,0.03,0.03
2015-16,16.0,Jharkhand,2.25,2.39,2.35,1.05,0.66,0.66,0.16,0.03,0.03,0.85,0.35,0.33
2015-16,17.0,Karnataka,13.71,15.38,14.61,5.9,6.15,5.89,3.91,2.64,2.48,11.63,12.9,11.92
2015-16,18.0,Kerala,1.68,1.48,1.41,0.34,0.28,0.24,1.75,0.88,0.86,2.25,1.32,1.21
2015-16,19.0,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,20.0,Madhya Pradesh,28.0,24.84,23.87,12.0,11.3,10.51,1.1,1.05,0.79,3.75,3.25,2.95
2015-16,21.0,Maharashtra,27.0,24.01,23.6,8.5,6.8,6.72,4.75,3.28,3.16,21.0,19.17,17.97
2015-16,22.0,Manipur,0.33,0.19,0.19,0.08,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
2015-16,23.0,Meghalaya,0.03,0.02,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01
2015-16,24.0,Mizoram,0.09,0.04,0.04,0.06,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2015-16,25.0,Nagaland,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
2015-16,26.0,Orissa,6.6,6.1,5.87,2.4,1.72,1.64,1.6,0.89,0.89,3.8,2.67,2.52
2015-16,27.0,Pondicherry,0.22,0.13,0.13,0.02,0.01,0.01,0.03,0.02,0.02,0.12,0.06,0.06
2015-16,28.0,Punjab,26.5,31.52,30.86,9.0,8.49,8.1,0.63,0.61,0.53,0.35,0.45,0.42
2015-16,29.0,Rajasthan,19.25,20.96,20.77,6.75,8.0,7.9,0.16,0.15,0.15,0.95,0.74,0.68
2015-16,30.0,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,31.0,Tamil Nadu,10.5,11.41,11.17,3.5,3.03,3.01,4.0,3.01,2.97,6.5,6.19,6.01
2015-16,32.0,Telangana,14.29,13.35,12.56,3.5,2.2,2.12,1.75,1.06,1.0,9.5,8.77,8.53
2015-16,33.0,Tripura,0.35,0.26,0.24,0.05,0.01,0.01,0.14,0.05,0.05,0.0,0.01,0.0
2015-16,34.0,Uttar Pradesh,59.47,60.13,57.99,19.5,22.43,21.8,2.0,2.28,2.19,10.5,7.3,6.9
2015-16,35.0,Uttarakhand,2.45,3.71,3.6,0.4,0.32,0.31,0.09,0.03,0.03,0.5,0.35,0.32
2015-16,36.0,West Bengal,12.65,14.87,14.38,4.19,3.51,3.32,3.5,2.43,2.22,9.59,10.02,9.38
2015-16,37.0,All India,313.35,329.0,319.68,102.34,101.28,97.47,36.08,25.71,24.23,105.89,98.03,92.68
2016-17,1.0,Andaman & Nicobar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01
2016-17,2.0,Andhra Pradesh,15.03,15.58,14.38,4.67,3.92,3.73,3.06,2.59,2.54,11.73,12.02,11.49
2016-17,3.0,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,4.0,Assam,3.1,3.23,3.19,0.43,0.57,0.54,1.05,0.74,0.74,0.1,0.11,0.11
2016-17,5.0,Bihar,19.5,20.15,19.77,6.0,5.53,5.32,1.9,2.38,2.3,4.0,2.64,2.54
2016-17,6.0,Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0
2016-17,7.0,Chattisgarh,5.99,6.93,6.5,3.6,3.17,2.91,1.2,0.69,0.61,1.6,0.81,0.68
2016-17,8.0,Dadra & Nagar Haveli,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,9.0,Daman & Diu,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,10.0,Delhi,0.09,0.12,0.13,0.06,0.0,0.01,0.02,0.0,0.0,0.03,0.0,0.0
2016-17,11.0,GOA,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.02,0.03
2016-17,12.0,Gujarat,18.5,20.77,20.55,5.3,4.6,4.48,1.5,1.43,1.43,5.6,6.26,6.12
2016-17,13.0,Harayana,18.0,20.36,19.62,6.3,5.79,5.62,0.35,0.65,0.62,0.65,0.24,0.18
2016-17,14.0,Himachal Pradesh,0.58,0.62,0.62,0.0,0.01,0.01,0.06,0.07,0.09,0.33,0.36,0.37
2016-17,15.0,J&K,1.29,1.3,1.29,0.69,0.69,0.66,0.25,0.29,0.29,0.02,0.01,0.01
2016-17,16.0,Jharkhand,2.4,2.23,2.19,0.95,0.67,0.62,0.1,0.03,0.03,0.58,0.15,0.15
2016-17,17.0,Karnataka,12.43,13.76,12.98,5.4,6.44,6.16,3.05,2.49,2.39,11.07,11.98,11.11
2016-17,18.0,Kerala,0.87,1.21,1.14,0.23,0.33,0.29,0.56,0.95,0.9,1.04,1.22,1.13
2016-17,19.0,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,20.0,Madhya Pradesh,22.0,24.31,22.48,12.5,9.95,8.09,1.25,1.12,1.01,3.95,3.52,2.79
2016-17,21.0,Maharashtra,24.56,25.67,24.91,7.84,6.2,6.0,4.7,3.54,3.52,21.58,18.37,17.12
2016-17,22.0,Manipur,0.2,0.17,0.17,0.08,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
2016-17,23.0,Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,24.0,Mizoram,0.05,0.03,0.05,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
2016-17,25.0,Nagaland,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
2016-17,26.0,Orissa,6.0,5.04,4.93,2.1,1.75,1.65,1.5,0.96,0.96,3.75,2.21,1.94
