Model,Accuracy,Precision,Recall,F1-score
Centralized CNN,0.8647260273972602,0.8948961013005295,0.8647260273972602,0.878730927450826
Federated CNN,0.7226027397260274,0.8082644770681449,0.7226027397260274,0.761022818136014
