Episode,Total_Reward
241,31.200000000000003
242,105.80000000000001
243,63.5
244,52.16
245,15.5
246,156.8
247,49.89999999999999
248,60.400000000000006
249,8.0
250,29.400000000000002
251,105.3
252,93.46000000000001
253,109.96
254,83.1
255,58.8
256,59.36
257,102.96
258,14.36
259,81.3
260,45.56
261,120.26
262,83.0
263,21.0
264,117.4
265,107.45999999999998
266,70.9
267,52.34000000000001
268,63.099999999999994
269,89.79999999999998
270,68.8
271,-0.5
272,117.6
273,73.7
274,47.5
275,80.1
276,119.06
277,107.3
278,116.39999999999998
279,16.8
280,37.5
281,26.659999999999997
282,63.76
283,149.5
284,39.9
285,87.0
286,118.3
287,-37.3
288,38.1
289,80.5
290,1.3999999999999986
291,130.86
292,96.7
293,29.1
294,59.5
295,75.0
296,96.5
297,92.76
298,136.1
299,97.0
300,94.1
301,129.3
302,87.9
303,72.75999999999999
304,87.2
305,99.6
306,131.6
307,63.0
308,83.2
309,74.0
310,6.099999999999998
311,94.8
312,78.96000000000001
313,118.22
314,83.4
315,135.7
316,8.5
317,11.499999999999993
318,153.4
319,108.4
320,117.2
321,85.8
322,106.2
323,53.60000000000001
324,22.919999999999995
325,29.200000000000003
326,55.099999999999994
327,66.9
328,80.82
329,81.19999999999999
330,127.96
331,148.5
332,70.0
333,145.5
334,133.7
335,86.7
336,144.2
337,107.3
338,142.56
339,90.3
340,70.3
341,110.39999999999999
342,136.8
343,125.0
344,114.5
345,80.3
346,135.60000000000002
347,121.0
348,144.2
349,74.3
350,89.66
351,100.2
352,145.2
353,134.7
354,129.2
355,149.7
356,68.6
357,132.5
358,27.199999999999996
359,59.3
360,48.8
361,50.9
362,111.3
363,136.8
364,141.06
365,135.7
366,94.99999999999997
367,46.3
368,112.9
369,75.46
370,86.89999999999998
371,139.0
372,93.25999999999999
373,86.5
374,52.1
375,97.3
376,128.86
377,34.400000000000006
378,155.56
379,133.0
380,121.3
381,71.6
382,77.6
383,118.8
384,135.8
385,67.5
386,110.6
387,132.0
388,130.0
389,134.2
390,115.2
391,37.900000000000006
392,94.4
393,75.5
394,134.7
395,126.0
396,140.0
397,93.7
398,25.999999999999993
399,146.3
400,97.3
401,129.5
402,133.0
403,103.96000000000001
404,43.99999999999999
405,113.49999999999999
406,136.5
407,20.000000000000004
408,98.5
409,122.6
410,86.8
411,153.6
412,102.39999999999999
413,38.199999999999996
414,147.8
415,120.5
416,142.6
417,78.1
418,93.7
419,100.39999999999999
420,117.7
421,139.0
422,100.3
423,77.06
424,109.69999999999999
425,111.7
426,133.8
427,54.7
428,134.5
429,58.0
430,115.0
431,128.0
432,108.19999999999999
433,107.0
434,149.0
435,147.8
436,131.6
437,116.39999999999999
438,139.6
439,162.0
440,108.96000000000001
441,156.8
442,140.16
443,149.6
444,128.6
445,116.76
446,25.92
447,143.36
448,94.19999999999999
449,119.0
450,141.8
451,102.0
452,117.9
453,117.56
454,135.5
455,135.0
456,46.8
457,141.0
458,124.2
459,72.35999999999999
460,92.6
461,93.3
462,114.39999999999999
463,117.3
464,97.6
465,130.6
466,70.9
467,136.8
468,111.0
469,135.2
470,153.6
471,128.8
472,143.52
473,133.56
474,132.06
475,115.0
476,135.0
477,150.39999999999998
478,145.5
479,121.1
480,127.19999999999999
481,142.2
482,131.56
483,68.5
484,121.6
485,144.9
486,78.5
487,142.5
488,117.2
489,87.0
490,156.8
491,156.8
492,109.9
493,115.6
494,99.89999999999999
495,96.5
496,101.4
497,61.4
498,136.8
499,135.8
500,156.8
501,120.99999999999999
502,101.39999999999999
503,125.9
504,120.8
505,89.39999999999999
506,126.2
507,148.5
508,100.6
509,160.0
510,113.75999999999998
511,140.8
512,72.30000000000001
513,108.6
514,127.2
515,122.8
516,82.0
517,159.0
518,154.0
519,65.39999999999999
520,111.4
521,139.0
522,117.1
523,131.6
524,108.0
525,132.36
526,95.99999999999999
527,131.6
528,107.8
529,149.0
530,139.39999999999998
531,82.4
532,119.6
533,127.5
534,113.0
535,160.0
536,127.4
537,160.0
538,132.2
539,160.0
540,132.0
541,147.76
542,75.6
543,103.0
544,160.0
545,110.86
546,160.0
547,110.39999999999999
548,145.0
549,162.0
550,160.0
551,152.4
552,128.2
