Model,MAE,MSE,RMSE,MAPE,R2_Score
RNN,536.2481680410879,536861.2436860907,732.7081572400369,13.213715341325663,0.29987684430056616
LSTM,482.1380244502314,439052.8380396749,662.6106232469224,12.95398208409601,0.4274292247721556
GRU,496.8582447193286,430792.4177590215,656.3477871974746,13.401983987488467,0.43820167590792103
