Model,MAE,MSE,RMSE,MAPE,R2_Score
RNN,3.912918890081806,30.951254953367457,5.563385206272118,1887.48528666208,0.8388235472214491
LSTM,5.94224170755457,63.00520023446651,7.937581510414019,4986.081681228239,0.6719049132032437
GRU,3.075306927834028,18.96895580806227,4.355336474724114,1877.72526130145,0.901220515463334
